,start_day,TRIP ID
0,01/01/2014,123
1,01/02/2014,112
2,01/03/2014,6
3,01/04/2014,205
4,01/05/2014,33
5,01/06/2014,1
6,01/09/2014,860
7,01/10/2014,823
8,01/11/2014,829
9,01/12/2014,996
10,01/13/2014,2645
11,01/14/2014,2149
12,01/15/2014,1734
13,01/16/2014,1716
14,01/17/2014,1427
15,01/18/2014,414
16,01/19/2014,562
17,01/20/2014,1208
18,01/21/2014,877
19,01/22/2014,923
20,01/23/2014,924
21,01/24/2014,896
22,01/25/2014,434
23,01/26/2014,329
24,01/27/2014,406
25,01/28/2014,451
26,01/29/2014,1072
27,01/30/2014,1351
28,01/31/2014,1570
29,02/01/2014,242
30,02/02/2014,401
31,02/03/2014,1212
32,02/04/2014,1208
33,02/05/2014,509
34,02/06/2014,735
35,02/07/2014,735
36,02/08/2014,300
37,02/09/2014,338
38,02/10/2014,882
39,02/11/2014,1075
40,02/12/2014,1281
41,02/13/2014,1389
42,02/14/2014,1338
43,02/15/2014,728
44,02/16/2014,530
45,02/17/2014,475
46,02/18/2014,1399
47,02/19/2014,2235
48,02/20/2014,1005
49,02/21/2014,1378
50,02/22/2014,1114
51,02/23/2014,789
52,02/24/2014,1539
53,02/25/2014,1527
54,02/26/2014,1139
55,02/27/2014,1111
56,02/28/2014,1473
57,03/01/2014,590
58,03/02/2014,329
59,03/03/2014,963
60,03/04/2014,1521
61,03/05/2014,910
62,03/06/2014,1614
63,03/07/2014,2522
64,03/08/2014,827
65,03/09/2014,1104
66,03/10/2014,4060
67,03/11/2014,3121
68,03/12/2014,940
69,03/13/2014,1742
70,03/14/2014,3783
71,03/15/2014,1894
72,03/16/2014,749
73,03/17/2014,2354
74,03/18/2014,3684
75,03/19/2014,2015
76,03/20/2014,3108
77,03/21/2014,4199
78,03/22/2014,2314
79,03/23/2014,984
80,03/24/2014,2429
81,03/25/2014,2096
82,03/26/2014,2571
83,03/27/2014,1945
84,03/28/2014,2559
85,03/29/2014,1920
86,03/30/2014,4865
87,03/31/2014,5596
88,04/01/2014,3756
89,04/02/2014,3733
90,04/03/2014,1745
91,04/04/2014,2609
92,04/05/2014,3994
93,04/06/2014,4732
94,04/07/2014,4253
95,04/08/2014,4868
96,04/09/2014,6322
97,04/10/2014,5990
98,04/11/2014,8823
99,04/12/2014,10956
100,06/30/2013,1812
101,07/01/2013,1559
102,07/24/2013,2663
103,07/25/2013,2810
104,07/26/2013,2157
105,07/27/2013,3334
106,07/28/2013,3349
107,07/29/2013,3108
108,07/30/2013,2412
109,07/31/2013,2294
110,08/01/2013,3568
111,11/19/2013,3567
112,11/20/2013,3336
113,11/21/2013,3173
114,11/22/2013,3094
115,11/23/2013,1350
116,11/24/2013,950
117,11/25/2013,2159
118,11/26/2013,2715
119,11/27/2013,1936
120,11/28/2013,597
121,11/29/2013,1282
122,11/30/2013,2141
123,12/01/2013,1396
124,12/02/2013,3248
125,12/03/2013,3536
126,12/04/2013,3889
127,12/05/2013,2853
128,12/06/2013,2338
129,12/07/2013,1067
130,12/08/2013,488
131,12/09/2013,1317
132,12/10/2013,1270
133,12/11/2013,1207
134,12/12/2013,1241
135,12/13/2013,1858
136,12/14/2013,346
137,12/15/2013,432
138,12/16/2013,1255
139,12/17/2013,1647
140,12/18/2013,1985
141,12/19/2013,2381
142,12/20/2013,1632
143,12/21/2013,704
144,12/22/2013,635
145,12/23/2013,1086
146,12/24/2013,389
147,12/25/2013,125
148,12/26/2013,785
149,12/27/2013,1594
150,12/28/2013,1899
151,12/29/2013,625
152,12/30/2013,933
153,12/31/2013,512
154,12/31/2015,1853
155,04/13/2014,3274
156,04/14/2014,1777
157,04/15/2014,2470
158,04/16/2014,4298
159,04/17/2014,6336
160,04/18/2014,5419
161,04/19/2014,7539
162,04/20/2014,10028
163,04/21/2014,6410
164,04/22/2014,6207
165,04/23/2014,5456
166,04/24/2014,5699
167,04/25/2014,8976
168,04/26/2014,5902
169,04/27/2014,3796
170,04/28/2014,2732
171,04/29/2014,5195
172,04/30/2014,5181
173,05/01/2014,3296
174,05/02/2014,5403
175,05/03/2014,9264
176,05/04/2014,4940
177,05/05/2014,5586
178,05/06/2014,7036
179,05/07/2014,7491
180,05/08/2014,10058
181,05/09/2014,7053
182,05/10/2014,12879
183,05/11/2014,8360
184,05/12/2014,8193
185,05/13/2014,6536
186,05/14/2014,6684
187,05/15/2014,4399
188,05/16/2014,3775
189,05/17/2014,7430
190,05/18/2014,11164
191,05/19/2014,9639
192,05/20/2014,10551
193,07/02/2013,1108
194,08/02/2013,3394
195,08/03/2013,5959
196,08/04/2013,5487
197,08/05/2013,3381
198,08/06/2013,3913
199,08/07/2013,3264
